mlbam_id,player,position,position_today,cohorts,mlb_debut_date,n_seasons_scored,first_crossing_season,first_base_crossing_season,debut_day_adj_war,debut_day_base_war,debut_day_rate_per_600,debut_reading_basis
694813,Gavin Stone,RHP,P,2023#56,2023-05-03,3,2021,2021,0.65,0.51,3.71,debut_season
694819,Jacob Misiorowski,RHP,P,2024#33,2025-06-12,3,2023,2023,1.89,1.48,4.48,debut_season
694973,Paul Skenes,RHP,P,2024#3,2024-05-11,1,2024,2024,1.26,1.08,7.19,debut_season
695076,Rhett Lowder,RHP,P,2024#34,2024-08-30,1,2024,2024,1.25,0.23,1.76,debut_season
695490,Edwin Arroyo,SS/2B,2B,2023#44;2024#67,2026-06-01,4,2022,2022,2.98,1.96,7.16,debut_season
695534,Chase Petty,RHP,P,2024#98,2025-04-30,4,2022,2023,0.46,0.31,2.76,debut_season
695549,Jackson Jobe,RHP,P,2022#40;2023#63;2024#25,2024-09-25,3,2022,2024,1.15,0.31,2.3,debut_season
695578,James Wood,OF,RF,2023#17;2024#14,2024-07-01,4,2021,2022,3.15,2.22,8.18,debut_season
695657,Colson Montgomery,SS/3B,SS,2023#38;2024#9,2025-07-04,5,2022,2022,1.45,0.48,3.59,debut_season
695670,Harry Ford,C,C,2022#93;2023#49;2024#38,2025-09-05,4,2022,2022,4.94,3.11,6.47,debut_season
695865,Wilmer Flores,RHP,P,2023#95,,4,2021,2021,,,,never_debuted
696135,Kahlil Watson,OF,RF,2022#25,2026-06-18,5,2022,2025,2.06,1.02,4.87,debut_season
696143,Anthony Solometo,LHP,P,2024#82,,3,2022,2022,,,,never_debuted
696149,Bubba Chandler,RHP,P,2024#93,2025-08-22,4,2022,2024,2.63,1.98,3.57,debut_season
700246,Carson Williams,SS,SS,2023#72;2024#20,2025-08-22,4,2022,2022,3.33,1.53,4.42,debut_season
700363,AJ Smith-Shawver,RHP,P,2024#69,2023-06-04,1,2022,2022,1.13,0.02,2.28,carried_from_2022_over_128pa_tuneup
700669,Gordon Graceffo,RHP,P,2023#79,2024-06-29,4,2021,2021,1.72,1.23,3.16,debut_season
700932,Kyle Manzardo,1B,1B,2023#73;2024#59,2024-05-06,3,2022,2022,1.24,0.72,5.8,debut_season
701327,Elijah Green,OF,OF,2023#46,,4,2023,,,,,never_debuted
701350,Roman Anthony,OF,LF,2024#24,2025-06-09,3,2023,2023,2.5,1.45,5.67,debut_season
701538,Jackson Merrill,SS/OF,CF,2023#19;2024#12,2024-03-20,3,2021,2022,3.6,0.51,4.22,carried_from_2023
701649,James Triantos,2B/3B/OF,2B,2024#73,2026-07-25,6,2021,2024,2.69,1.14,4.27,debut_season
702222,Justin Crawford,OF,CF,2024#77,2026-03-26,3,2023,2023,4.65,2.63,5.51,carried_from_2025
702253,Cam Collier,1B/3B,3B,2023#69,,4,2023,,,,,never_debuted
702258,Druw Jones,OF,OF,2023#15;2024#78,,4,2023,2026,,,,never_debuted
702261,Termarr Johnson,2B,SS,2023#26;2024#44,,4,2023,2023,,,,never_debuted
702266,Dylan Lesko,RHP,P,2023#100;2024#56,,2,,,,,,never_debuted
702273,Noah Schultz,LHP,P,2024#50,2026-04-14,3,2023,2024,0.71,-0.04,1.3,carried_from_2025_over_47pa_tuneup
702281,Robby Snelling,LHP,P,2024#36,2026-05-08,4,2023,2023,1.01,0.82,5.52,debut_season
702284,Cole Young,2B/SS,2B,2024#37,2025-05-31,3,2023,2023,2.21,1.23,5.4,debut_season
702518,Jett Williams,3B/SS/OF,SS,2024#45,,4,2023,2023,,,,never_debuted
702548,Brock Porter,RHP,P,2023#94;2024#88,,3,2023,,,,,never_debuted
702616,Jackson Holliday,2B/SS,2B,2023#12;2024#1,2024-04-10,1,2023,2023,5.62,2.38,5.8,carried_from_2023_over_56pa_tuneup
703149,Roderick Arias,SS,SS,2024#86,,4,2023,2026,,,,never_debuted
703601,Max Clark,OF,CF,2024#13,2026-07-31,4,2023,2025,3.04,1.33,4.36,debut_season
800050,Chase DeLauter,OF,RF,2023#82;2024#31,2025-10-01,3,2023,2023,1.19,0.6,4.79,debut_season
800060,Xavier Isaac,1B,1B,2024#58,,4,2023,2024,,,,never_debuted
800611,Noble Meyer,RHP,P,2024#57,,2,2024,,,,,never_debuted
801403,Chase Dollander,RHP,P,2024#52,2025-04-06,1,2024,2024,1.35,0.51,1.62,carried_from_2024_over_19pa_tuneup
805779,Jacob Wilson,SS,SS,2024#68,2024-07-19,1,2024,2024,2.99,2.1,9.79,debut_season
805795,Aidan Miller,SS,SS,2024#61,,2,2024,2024,,,,never_debuted
805805,Walker Jenkins,OF,OF,2024#10,,4,2023,2024,,,,never_debuted
805810,Blake Mitchell,C,C,2024#94,,3,2024,2024,,,,never_debuted
805811,Bryce Eldridge,1B,DH,2024#96,2025-09-15,3,2023,2024,2.47,0.51,3.48,debut_season
806068,Colt Emerson,SS,SS,2024#87,2026-05-17,3,2024,2024,1.46,0.76,5.17,debut_season
806956,Ethan Salas,C,C,2024#8,,3,2023,2023,,,,never_debuted
806964,Sebastian Walcott,SS/3B,SS,2024#71,,3,2023,2024,,,,never_debuted
807713,Matt Shaw,INF,RF,2024#54,2025-03-18,2,2023,2023,4.9,2.5,5.62,carried_from_2024
